JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Elm Avenue/Rabbit Road,23/06/2024,19:50:30,W,S,Foggy,20,46,Truck,True
King's Road/Queen's Lane,23/06/2024,07:46:57,W,NE,Foggy,20,6,Scooter,True
King's Road/Queen's Lane,23/06/2024,17:17:41,NE,N,Foggy,50,37,Bicycle,True
King's Road/Queen's Lane,23/06/2024,14:58:06,N,S,Cloudy,30,38,Bicycle,True
Elm Avenue/Rabbit Road,23/06/2024,07:51:44,E,N,Overcast,20,16,Truck,True
North Square/Broad Street,23/06/2024,05:59:40,SW,S,Rainy,50,40,Truck,False
North Square/Broad Street,23/06/2024,05:32:44,SW,NW,Cloudy,40,51,Bicycle,False
Hanley Highway/Westway,23/06/2024,06:27:10,SE,NE,Cloudy,20,56,Bus,False
Elm Avenue/Rabbit Road,23/06/2024,13:02:27,N,NE,Foggy,50,60,Car,True
Elm Avenue/Rabbit Road,23/06/2024,11:14:32,NE,S,Sunny,40,22,Bicycle,True
Hanley Highway/Westway,23/06/2024,01:09:24,NW,SE,Foggy,50,36,Bicycle,False
Elm Avenue/Rabbit Road,23/06/2024,04:08:40,N,E,Sunny,20,44,Truck,True
King's Road/Queen's Lane,23/06/2024,09:25:51,NE,SE,Rainy,30,44,Bus,False
Willow Lane/Park Avenue,23/06/2024,01:20:27,E,N,Sunny,50,56,Scooter,True
North Square/Broad Street,23/06/2024,02:46:23,SW,NE,Cloudy,50,17,Scooter,True
North Square/Broad Street,23/06/2024,23:14:01,SE,SE,Rainy,30,56,Scooter,False
Elm Avenue/Rabbit Road,23/06/2024,18:45:30,SE,NE,Foggy,30,24,Bicycle,False
Hanley Highway/Westway,23/06/2024,12:35:19,SE,SW,Overcast,30,7,Truck,False
Hanley Highway/Westway,23/06/2024,19:04:33,NE,SE,Sunny,50,38,Bus,True
King's Road/Queen's Lane,23/06/2024,21:49:43,N,NE,Cloudy,30,11,Bicycle,True
Willow Lane/Park Avenue,23/06/2024,03:49:36,S,S,Foggy,40,52,Bicycle,False
North Square/Broad Street,23/06/2024,02:51:52,NE,NE,Rainy,50,33,Car,False
King's Road/Queen's Lane,23/06/2024,15:09:48,NW,W,Rainy,20,6,Bicycle,False
Willow Lane/Park Avenue,23/06/2024,17:23:38,SE,E,Sunny,20,38,Car,False
King's Road/Queen's Lane,23/06/2024,20:05:05,SW,NE,Overcast,30,28,Car,False
Willow Lane/Park Avenue,23/06/2024,20:04:19,NE,SW,Rainy,50,10,Truck,True
Hanley Highway/Westway,23/06/2024,15:14:23,S,NW,Foggy,30,48,Truck,True
King's Road/Queen's Lane,23/06/2024,18:56:59,N,S,Foggy,50,36,Scooter,True
Hanley Highway/Westway,23/06/2024,01:26:56,SE,S,Cloudy,50,28,Car,False
Hanley Highway/Westway,23/06/2024,21:02:15,SE,NW,Overcast,50,5,Car,True
Willow Lane/Park Avenue,23/06/2024,23:19:37,SE,S,Overcast,20,20,Car,True
Willow Lane/Park Avenue,23/06/2024,22:28:37,S,E,Sunny,30,10,Motorcycle,False
Elm Avenue/Rabbit Road,23/06/2024,16:03:08,S,NE,Overcast,40,22,Motorcycle,False
North Square/Broad Street,23/06/2024,21:06:43,N,N,Cloudy,40,25,Scooter,False
King's Road/Queen's Lane,23/06/2024,22:02:07,N,S,Sunny,30,42,Scooter,True
King's Road/Queen's Lane,23/06/2024,14:30:20,S,N,Rainy,20,59,Scooter,False
North Square/Broad Street,23/06/2024,09:36:08,SW,NW,Cloudy,30,53,Motorcycle,False
Hanley Highway/Westway,23/06/2024,15:55:31,E,S,Foggy,50,47,Truck,False
Hanley Highway/Westway,23/06/2024,00:33:27,NW,N,Sunny,50,24,Scooter,False
Hanley Highway/Westway,23/06/2024,21:45:38,NW,W,Rainy,30,33,Motorcycle,False
King's Road/Queen's Lane,23/06/2024,20:31:46,NE,SE,Cloudy,40,24,Truck,False
Willow Lane/Park Avenue,23/06/2024,22:46:29,SE,NW,Sunny,50,24,Motorcycle,True
North Square/Broad Street,23/06/2024,00:37:32,SW,SW,Sunny,20,35,Bicycle,False
Elm Avenue/Rabbit Road,23/06/2024,10:21:28,SE,NE,Cloudy,40,46,Bus,False
Elm Avenue/Rabbit Road,23/06/2024,21:24:46,W,W,Overcast,20,27,Car,False
Willow Lane/Park Avenue,23/06/2024,03:16:06,NE,NE,Sunny,50,55,Bus,True
Elm Avenue/Rabbit Road,23/06/2024,23:35:47,NE,SW,Foggy,40,18,Motorcycle,True
North Square/Broad Street,23/06/2024,05:20:10,S,SW,Rainy,50,25,Car,True
Elm Avenue/Rabbit Road,23/06/2024,14:03:38,S,NE,Overcast,30,32,Truck,False
King's Road/Queen's Lane,23/06/2024,15:15:21,N,SW,Rainy,50,47,Motorcycle,True
Hanley Highway/Westway,23/06/2024,12:43:41,NW,SE,Foggy,30,34,Scooter,True
Hanley Highway/Westway,23/06/2024,15:36:01,NW,E,Foggy,50,39,Scooter,True
King's Road/Queen's Lane,23/06/2024,19:14:28,NE,W,Cloudy,30,40,Motorcycle,True
Willow Lane/Park Avenue,23/06/2024,02:14:57,SW,NE,Foggy,20,14,Truck,True
Elm Avenue/Rabbit Road,23/06/2024,22:33:44,W,SE,Foggy,50,14,Car,True
King's Road/Queen's Lane,23/06/2024,10:40:12,E,NE,Rainy,40,36,Scooter,False
Elm Avenue/Rabbit Road,23/06/2024,13:13:52,S,W,Rainy,20,53,Bicycle,True
King's Road/Queen's Lane,23/06/2024,16:43:39,S,E,Overcast,40,41,Scooter,True
King's Road/Queen's Lane,23/06/2024,02:08:26,N,SE,Sunny,50,43,Bus,True
Willow Lane/Park Avenue,23/06/2024,07:03:43,NW,E,Cloudy,50,33,Scooter,True
